contest_id:598
contest_short_name:Board of Supervisors, District 1
reporting_time: 2016-11-09 00:00:35
total_precincts:48
precincts_reporting:48
contest_hash:c4231621dbfc12402e8060a2c43e507421eaa2b9a7eb20f789794cf588ca0a57
---
district_id|subtotal_type|RSReg|RSCst|RSTot|RSRej|RSUnc|RSWri|RSUnd|RSOvr|RSExh|3790:AMY FARAH WEISS|3789:ELLEN LEE ZHOU|4969:MICHELLE BRAVO|4970:LONDON BREED|3786:MARK LENO|3788:JANE KIM|3785:RICHIE GREENBERG|3787:ANGELA ALIOTO
PCT9139|MV|1004|282|261|21|0|0|9|3|0|9|3|106|15|34|7|4|71
PCT9141|ED|963|264|258|6|0|0|15|2|0|4|2|83|12|27|7|4|102
PCT9141|MV|963|276|258|18|0|0|14|1|0|4|4|100|7|34|4|3|87
PCT9142|ED|1003|291|277|14|0|0|26|4|0|5|3|93|13|18|6|3|106
PCT9142|MV|1003|230|211|19|0|0|5|0|0|2|7|61|6|22|9|2|97
PCT9143|ED|921|260|254|6|0|0|19|0|0|3|1|69|11|15|6|6|124
PCT9143|MV|921|243|206|37|0|0|6|3|0|3|3|56|10|38|6|0|81
PCT9144|ED|983|301|296|5|0|0|24|0|0|3|6|90|4|31|7|5|126
PCT9144|MV|983|239|217|22|0|0|12|2|0|7|5|76|9|35|3|3|65
PCT9145|ED|889|254|248|6|0|0|18|2|0|9|1|76|9|24|6|1|102
PCT9145|MV|889|233|215|18|0|0|14|2|0|4|1|73|10|20|2|5|84
PCT9146|ED|929|325|304|21|0|0|36|0|0|8|3|69|8|18|8|5|149
PCT9146|MV|929|193|175|18|0|0|18|0|0|2|1|52|7|14|3|2|76
PCT9147|ED|983|267|253|14|0|0|25|0|0|5|4|71|6|41|4|1|96
PCT9147|MV|983|255|229|26|0|0|12|1|0|4|3|88|6|29|4|1|81
PCT9148|ED|1007|317|307|10|0|0|21|0|0|6|4|109|9|27|1|5|125
PCT9148|MV|1007|278|241|37|0|0|16|1|0|1|7|85|6|25|0|7|93
PCT9149|ED|976|286|273|13|0|0|37|1|0|4|0|69|8|22|9|8|115
PCT9149|MV|976|266|236|30|0|0|13|0|0|4|3|75|3|23|6|4|105
PCT9151|ED|858|236|228|8|0|0|42|1|0|3|3|72|5|25|8|3|66
PCT9151|MV|858|241|210|31|0|0|20|3|0|3|2|85|1|28|3|6|59
PCT9152|ED|842|224|223|1|0|0|59|1|0|2|5|47|3|25|3|6|72
PCT9152|MV|842|141|119|22|0|0|8|0|0|2|4|42|5|10|4|2|42
ASSM17|TO|150|72|72|0|0|0|9|1|0|1|1|26|2|6|1|2|23
ASSM19|TO|43668|23614|22112|1502|0|0|1596|115|0|496|376|7478|705|2292|516|406|8132
BART8|TO|43668|23614|22112|1502|0|0|1596|115|0|496|376|7478|705|2292|516|406|8132
BART9|TO|150|72|72|0|0|0|9|1|0|1|1|26|2|6|1|2|23
NEIG10|TO|3613|1880|1727|153|0|0|234|9|0|35|24|505|32|185|43|37|623
NEIG17|TO|38142|20627|19343|1284|0|0|1286|105|0|438|339|6539|644|2016|455|344|7177
NEIG18|TO|1913|1107|1042|65|0|0|76|1|0|23|13|434|29|91|18|25|332
NEIG6|TO|150|72|72|0|0|0|9|1|0|1|1|26|2|6|1|2|23
